year,avgtemp
1880,15.009
1881,15.087
1882,15.057
1883,14.963
1884,14.833
1885,14.854
1886,14.835
1887,14.816
1888,14.994
1889,15.113
1890,14.841
1891,14.944
1892,14.882
1893,14.912
1894,14.915
1895,14.969
1896,15.091
1897,15.075
1898,14.887
1899,15.048
1900,15.144
1901,15.073
1902,14.958
1903,14.837
1904,14.81
1905,14.955
1906,15.032
1907,14.875
1908,14.838
1909,14.79
1910,14.819
1911,14.776
1912,14.877
1913,14.909
1914,15.076
1915,15.144
1916,14.901
1917,14.81
1918,14.96
1919,15.007
1920,15.026
1921,15.102
1922,15.012
1923,15.028
1924,15.039
1925,15.09
1926,15.241
1927,15.122
1928,15.132
1929,14.967
1930,15.172
1931,15.228
1932,15.188
1933,15.013
1934,15.144
1935,15.119
1936,15.166
1937,15.3
1938,15.293
1939,15.302
1940,15.372
1941,15.385
1942,15.325
1943,15.345
1944,15.449
1945,15.331
1946,15.263
1947,15.31
1948,15.261
1949,15.223
1950,15.14
1951,15.311
1952,15.363
1953,15.421
1954,15.231
1955,15.174
1956,15.106
1957,15.374
1958,15.382
1959,15.34
1960,15.292
1961,15.38
1962,15.326
1963,15.377
1964,15.117
1965,15.196
1966,15.265
1967,15.294
1968,15.264
1969,15.391
1970,15.333
1971,15.2
1972,15.293
1973,15.405
1974,15.168
1975,15.239
1976,15.131
1977,15.408
1978,15.301
1979,15.414
1980,15.492
1981,15.516
1982,15.342
1983,15.52
1984,15.344
1985,15.341
1986,15.384
1987,15.525
1988,15.556
1989,15.442
1990,15.629
1991,15.598
1992,15.453
1993,15.466
1994,15.535
1995,15.638
1996,15.525
1997,15.714
1998,15.826
1999,15.6
2000,15.611
2001,15.768
2002,15.829
2003,15.827
2004,15.757
2005,15.879
2006,15.814
2007,15.827
2008,15.721
2009,15.827
2010,15.895
2011,15.77
2012,15.802
2013,15.854
2014,15.913
2015,16.059
