Year,GMSL
1880,-158.725
1881,-153.05833333333334
1882,-169.88333333333333
1883,-164.59166666666667
1884,-143.75
1885,-145.24166666666667
1886,-147.57500000000002
1887,-153.20000000000002
1888,-151.07500000000002
1889,-149.5
1890,-147.525
1891,-149.18333333333334
1892,-146.04166666666666
1893,-141.29999999999998
1894,-150.98333333333332
1895,-139.18333333333334
1896,-146.81666666666666
1897,-141.60833333333332
1898,-132.21666666666667
1899,-124.74166666666667
1900,-130.1
1901,-130.53333333333333
1902,-125.91666666666669
1903,-117.85
1904,-128.15833333333333
1905,-133.73333333333332
1906,-126.88333333333333
1907,-128.275
1908,-130.79166666666666
1909,-126.30833333333334
1910,-126.41666666666669
1911,-118.05833333333334
1912,-121.16666666666669
1913,-119.39166666666668
1914,-113.05
1915,-105.18333333333334
1916,-107.11666666666667
1917,-111.63333333333333
1918,-113.21666666666664
1919,-111.59166666666664
1920,-110.25
1921,-108.23333333333332
1922,-109.125
1923,-107.94166666666666
1924,-115.23333333333332
1925,-113.19166666666666
1926,-106.69166666666666
1927,-107.75833333333333
1928,-111.65
1929,-110.28333333333336
1930,-106.31666666666666
1931,-106.7
1932,-101.03333333333336
1933,-96.69166666666666
1934,-102.04166666666669
1935,-96.46666666666664
1936,-100.39166666666668
1937,-94.69166666666666
1938,-92.075
1939,-86.875
1940,-92.19166666666666
1941,-79.99166666666666
1942,-80.05
1943,-80.0
1944,-86.44166666666666
1945,-83.63333333333334
1946,-76.10833333333333
1947,-72.94166666666666
1948,-68.21666666666667
1949,-69.5
1950,-67.3
1951,-57.833333333333336
1952,-60.38333333333333
1953,-55.96666666666667
1954,-58.93333333333334
1955,-57.975
1956,-63.11666666666667
1957,-49.68333333333334
1958,-48.30833333333334
1959,-48.01666666666667
1960,-44.26666666666667
1961,-38.09166666666667
1962,-43.31666666666666
1963,-44.925
1964,-52.825
1965,-41.54166666666666
1966,-46.96666666666667
1967,-45.60833333333333
1968,-44.80833333333334
1969,-38.0
1970,-39.94166666666667
1971,-34.725
1972,-25.59166666666667
1973,-31.59166666666667
1974,-19.716666666666665
1975,-21.275
1976,-22.35
1977,-23.96666666666667
1978,-17.566666666666666
1979,-22.53333333333333
1980,-16.525000000000002
1981,-4.075
1982,-9.858333333333333
1983,-1.4666666666666668
1984,-2.391666666666667
1985,-12.683333333333332
1986,-12.058333333333332
1987,-11.458333333333334
1988,-6.758333333333333
1989,-2.316666666666667
1990,0.0083333333333331
1991,2.5083333333333333
1992,3.1666666666666665
1993,1.4166666666666667
1994,6.575
1995,9.525
1996,13.666666666666666
1997,20.558333333333334
1998,10.666666666666666
1999,19.225
2000,20.48333333333333
2001,25.98333333333333
2002,28.35833333333333
2003,37.60833333333333
2004,37.18333333333333
2005,37.29166666666666
2006,41.56666666666667
2007,43.48333333333333
2008,52.2
2009,58.01666666666667
2010,65.75
2011,67.3
2012,76.08333333333333
2013,67.72500000000001
2014,30.078333333333333
2015,40.89675675675676
2016,43.27837837837838
2017,44.34513513513514
2018,48.61054054054054
2019,55.74567567567568
2020,56.41972222222222
2021,56.90111111111111
