Year,pop
1800,985438384
1801,988878413
1802,992359231
1803,995881155
1804,999444537
1805,1003049744
1806,1006697167
1807,1010387244
1808,1014120417
1809,1017897172
1810,1023340268
1811,1028840725
1812,1034993943
1813,1041815759
1814,1048808626
1815,1055976704
1816,1063324372
1817,1070856193
1818,1078576938
1819,1086185524
1820,1093668787
1821,1100780988
1822,1107715693
1823,1114989106
1824,1122362890
1825,1129842084
1826,1137472719
1827,1145208781
1828,1153051763
1829,1160447129
1830,1167391347
1831,1173841048
1832,1179803790
1833,1185275660
1834,1190807771
1835,1196403388
1836,1202056407
1837,1207773996
1838,1213557348
1839,1219268983
1840,1224919794
1841,1230513431
1842,1236045069
1843,1241516929
1844,1247069085
1845,1252704073
1846,1258423583
1847,1264229315
1848,1270123078
1849,1275236482
1850,1279574977
1851,1282617024
1852,1284889909
1853,1286401650
1854,1288024931
1855,1289761064
1856,1291611507
1857,1293577764
1858,1295661434
1859,1298120611
1860,1300948508
1861,1304135533
1862,1307684938
1863,1311585132
1864,1315568440
1865,1319628250
1866,1323763972
1867,1327983343
1868,1332285278
1869,1337170107
1870,1342650846
1871,1348655082
1872,1355321976
1873,1362565813
1874,1369881603
1875,1377297380
1876,1384793319
1877,1392340367
1878,1399955312
1879,1408098848
1880,1416809798
1881,1426105951
1882,1435992787
1883,1446462862
1884,1457062768
1885,1467848591
1886,1478740907
1887,1489787234
1888,1500961169
1889,1511911862
1890,1522654654
1891,1533153361
1892,1543410007
1893,1553428030
1894,1563584183
1895,1573891839
1896,1584287814
1897,1594829656
1898,1605496623
1899,1616821756
1900,1628775536
1901,1641373284
1902,1654625117
1903,1668528525
1904,1682609448
1905,1696872640
1906,1711323017
1907,1725984670
1908,1740858432
1909,1755138020
1910,1768819742
1911,1781818137
1912,1794303639
1913,1806191150
1914,1818268983
1915,1830483713
1916,1842773015
1917,1855150908
1918,1868150304
1919,1881960860
1920,1896695382
1921,1912087252
1922,1928251610
1923,1945105667
1924,1962228944
1925,1979624158
1926,1997272443
1927,2015175290
1928,2033359756
1929,2052225865
1930,2071815120
1931,2092140968
1932,2113176883
1933,2134883926
1934,2156859958
1935,2179111163
1936,2201736175
1937,2224706842
1938,2248106586
1939,2270656946
1940,2291963292
1941,2312084166
1942,2331121500
1943,2349001182
1944,2366905856
1945,2384659222
1946,2402289644
1947,2421280133
1948,2441885925
1949,2467909478
1950,2493094915
