Year,oilProductionInTWh,barrelsEquivalent
1900,234.94926,65497546.675639994
1901,262.83799,73180202.62688
1902,285.3885698,90262613.55035001
1903,305.043263,105757865.101104
1904,342.53839,124099071.86419
1905,336.897832,141899772.31838
1906,335.548755,134538681.743176
1907,414.90024000000005,175948326.34828
1908,448.53421,192326114.33002
1909,471.31738999999993,201151245.64049
1910,512.63879,222475197.54117998
1911,543.00469,232182829.01413
1912,551.7504799999999,232073390.94598
1913,608.330408,257748326.01854
1914,626.566244,273421450.38005
1915,672.5047500000001,287911092.8062
1916,721.374028,309631850.43021
1917,797.32953,343529881.54909
1918,791.2587,364354404.6365
1919,901.2436,400893163.95559
1920,1154.579848,472657217.15317
1921,1248.30603,495144232.47152
1922,1392.33189,579653244.07206
1923,1643.90047,752153495.27014
1924,1631.15408,742432234.4199001
1925,1692.96744,791107130.7559
1926,1711.4242,804851019.9180399
1927,1921.5319599999998,929729958.0015999
1928,1946.43174,940963140.16498
1929,2151.00336,1045906777.35246
1930,2037.82023,947045015.31442
1931,1997.5222399999998,899143109.69974
1932,1898.66722,845734013.84017
1933,2089.2016,955206576.2912
1934,2183.06734,968102259.8944
1935,2371.85704,1051215742.19126
1936,2594.81575,1159046410.0379
1937,2934.6443,1351994920.454
1938,2853.1647199999998,1303066934.652
1939,2957.68336,1360833699.66715
1940,3100.3255,1446888983.6153
1941,3134.61047,1469676784.361
1942,3065.0400799999998,1446854724.80806
1943,3266.0761,1583513956.90333
1944,3667.86935,1750007803.75724
1945,3554.3953500000002,1791677172.845
1946,3706.37625,1865856109.72175
1947,4071.80267,2042030256.55223
1948,4612.30689,2340695522.22555
1949,4599.5952,2293238303.09125
1950,5149.58935,2545445099.03405
1951,5831.0143,2883029880.36505
1952,6117.33368,2933018864.0335
1953,6560.98276,3083586156.1885
1954,6839.31258,3165927070.839
1955,7640.81696,3523884778.7156
1956,8243.55333,3786640915.3668
1957,8574.85735,3931509716.394
1958,8950.5874,3933747059.3212
1959,9676.42766,4172696118.7486
1960,10503.8086,4448812968.6315
1961,11254.467400000001,4712896503.4488
1962,12189.8333,5043927638.6624
1963,13190.9207,5332379617.9823
1964,14304.7028,5684666835.777
1965,15730.9702,6227456983.302
1966,17343.422599999998,6863785626.9966
1967,18652.0342,7413246703.525
1968,20522.86424,7946609451.884
1969,22298.281763,8619606621.2534
1970,24727.705203999998,9700088878.718
1971,26383.541726,10568144065.281
1972,28219.738680000002,11639662868.396
1973,30924.715326,12754016404.583
1974,31244.90149,12842869609.848999
1975,29964.16275,11655517568.34
1976,32730.644546,12750059228.1425
1977,33986.69797,13168965606.626
1978,34359.06379,12977813847.671
1979,35731.90945,13201717579.022
1980,34145.552656,12334461711.97
1981,32100.23919,11768374475.573
1982,30848.26461,10803795117.994
1983,30463.42773,10458644215.844
1984,31056.691486000003,10673237829.759
1985,30690.31684,10491212687.367
1986,32208.62961,11045176654.532
1987,32298.117609999998,10854095893.508
1988,33717.5942,11462611915.578001
1989,34161.82264,11743390374.282999
1990,34712.79015,12382567781.148
1991,34460.60143,13147949917.307
1992,34984.07476,13751649015.891
1993,34862.418529999995,14007917733.477
1994,35290.36435,14431373803.247
1995,35710.01136,14624220369.655
1996,36607.60585,14933573968.849
1997,37418.2356,15022973891.5
1998,38374.98254,15150042242.732
1999,37689.5294,14555443078.998
2000,39425.57325,15306997561.3
2001,39397.42015,15047153212.383
2002,38991.4223,14599189541.924
2003,40885.4555,15479450638.514
2004,42755.4513,15894844035.243
2005,43061.31006,15886304801.319
2006,43419.55033,15813282502.498
2007,43389.9027,15619975374.073
2008,43882.3765,15831807740.232
2009,42870.2494,15198873631.693
2010,43921.9022,15527771650.619999
2011,44307.5946,16023658485.104
2012,45615.54644,16286654543.364
2013,45677.53675,16421979851.601
2014,46780.3769,17104384584.153
2015,48311.86312,17707230509.702
2016,48685.095369999995,17871121925.719
2017,48969.60193,17945712412.822
2018,50512.44373,18754207751.822
2019,50760.17663,18749669712.57
2020,47422.22410000001,17691062576.847
2021,48007.365959999996,17707954815.572998
